date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2020-05-28,sh.600000,9.3529872800,9.5245189000,9.3529872800,9.5064629400,9.3439593000,38263189,401358593.0000,2,0.136100,1,1.739100,5.167395,1.576700,16.446411,0.602783,0
2020-05-29,sh.600000,9.4342391000,9.5425748600,9.4342391000,9.5425748600,9.5064629400,30659227,322828566.0000,2,0.109100,1,0.379900,5.187024,1.582690,16.508886,0.605072,0
2020-06-01,sh.600000,9.5967427400,9.6779945600,9.5425748600,9.6147987000,9.5425748600,28612841,304346423.0000,2,0.101800,1,0.756900,5.226283,1.594668,16.633835,0.609652,0
2020-06-02,sh.600000,9.5516028400,9.6960505200,9.5516028400,9.6418826400,9.6147987000,25922545,276609954.0000,2,0.092200,1,0.281700,5.241005,1.599160,16.680691,0.611369,0
2020-06-03,sh.600000,9.7050785000,9.8134142600,9.6599386000,9.6599386000,9.6418826400,27352188,294473001.0000,2,0.097300,1,0.187300,5.250819,1.602155,16.711928,0.612514,0
2020-06-04,sh.600000,9.7502184000,9.7502184000,9.6057707200,9.6057707200,9.6599386000,17559033,187688384.0000,2,0.062500,1,-0.560700,5.221376,1.593171,16.618216,0.609080,0
2020-06-05,sh.600000,9.6418826400,9.6509106200,9.5335468800,9.6328546600,9.6057707200,20958291,222668156.0000,2,0.074600,1,0.282000,5.236097,1.597663,16.665072,0.610797,0
2020-06-08,sh.600000,9.6057707200,9.6779945600,9.5696588000,9.5786867800,9.6328546600,18251152,194265349.0000,2,0.064900,1,-0.562300,5.206654,1.588679,16.571360,0.607362,0
2020-06-09,sh.600000,9.5877147600,9.6779945600,9.5516028400,9.6418826400,9.5786867800,17263160,184089097.0000,2,0.061400,1,0.659800,5.241005,1.599160,16.680691,0.611369,0
2020-06-10,sh.600000,9.6689665800,9.6689665800,9.5516028400,9.5516028400,9.6418826400,16693480,177440922.0000,2,0.059400,1,-0.936300,5.191932,1.584187,16.524504,0.605645,0
2020-06-11,sh.600000,9.5516028400,9.5786867800,9.4342391000,9.4613230400,9.5516028400,25171455,264822302.0000,2,0.089600,1,-0.945200,5.142859,1.569214,16.368318,0.599920,0
2020-06-12,sh.600000,9.5516028400,9.5516028400,9.4161831400,9.5245189000,9.4613230400,25514482,267574331.0000,2,0.090800,1,0.667900,5.177210,1.579695,16.477649,0.603928,0
2020-06-15,sh.600000,9.3981271800,9.4703510200,9.3439593000,9.3439593000,9.5245189000,25497883,265574307.0000,2,0.090700,1,-1.895700,5.079064,1.549748,16.165276,0.592479,0
2020-06-16,sh.600000,9.4252111200,9.4793790000,9.3890992000,9.4342391000,9.3439593000,17682742,184966297.0000,2,0.062900,1,0.966200,5.128137,1.564722,16.321462,0.598203,0
2020-06-17,sh.600000,9.4252111200,9.4884069800,9.4161831400,9.4522950600,9.4342391000,16148594,169024390.0000,2,0.057500,1,0.191400,5.137951,1.567716,16.352699,0.599348,0
2020-06-18,sh.600000,9.4071551600,9.5425748600,9.3800712200,9.4793790000,9.4522950600,20856551,218713603.0000,2,0.074200,1,0.286500,5.152673,1.572208,16.399555,0.601065,0
2020-06-19,sh.600000,9.5335468800,9.6418826400,9.4793790000,9.5786867800,9.4793790000,39814479,422462428.0000,2,0.141700,1,1.047600,5.206654,1.588679,16.571360,0.607362,0
2020-06-22,sh.600000,9.5425748600,9.6238266800,9.5064629400,9.5245189000,9.5786867800,24611903,260728901.0000,2,0.087600,1,-0.565500,5.177210,1.579695,16.477649,0.603928,0
